noise_level,method,ari_mean,ari_std,sparseness_mean,sparseness_std,entropy_mean,entropy_std,time_mean,time_std
1.0,ot_mesh,0.9856001852205,0.01577853386184831,0.9790666666666666,0.001049867716534896,3.944305419921875,0.0339590460062027,0.2963229815165202,0.3944754836328242
1.0,ot_vanilla,-4.0793631188396756e-05,9.718237760568558e-07,1.0,0.0,7.823851108551025,2.3395816242555156e-05,0.0013783772786458333,0.00036296681053892644
1.0,xgboost,0.6683699389803883,0.03982108523724451,0.9495999999999999,0.00489897948556636,4.719274778591173,0.13705979282386888,2.8240366776784263,0.7743104434270747
1.0,harmony,0.19250993592457175,0.019879404862388327,0.9105333333333333,0.002639865316429748,6.162946226349816,0.07401201851093775,2.5092194080352783,0.029733591137677935
1.0,refcm_strict,1.0,0.0,0.98,0.0,3.9120230004223218,0.0,1.524669090906779,0.0281515251875309
1.0,refcm_flex,0.22305630934648335,0.007521604112245966,0.9693333333333335,0.001968643074697798,4.337417934037049,0.06392733523464539,1.5443832874298096,0.01442539684520174
2.0,ot_mesh,0.9842444426877198,0.01599261594679192,0.9790666666666666,0.0008219218670625297,3.9405155181884766,0.029343649744987488,0.014090696970621744,0.0022578031344709674
2.0,ot_vanilla,-4.266403332060774e-05,6.540209192426355e-07,1.0,0.0,7.823894023895264,1.5617175449733622e-05,0.000778039296468099,5.757774406016902e-05
2.0,xgboost,0.5507623883372648,0.02586597491384451,0.9468,0.004270831300812553,5.100272141478413,0.10255805543142194,2.5366226037343345,0.457762568463642
2.0,harmony,0.05492779583958565,0.0044643761350924615,0.902,0.001177568115510388,6.86610210978789,0.014734118295350306,2.935256004333496,0.22779940920441563
2.0,refcm_strict,1.0,0.0,0.98,0.0,3.9120230004223218,0.0,1.5451506773630779,0.03498123580365988
2.0,refcm_flex,0.19682875167588829,0.008347651264240002,0.9537333333333332,0.011286963965369748,4.718885843458299,0.25652595918255294,1.486297607421875,0.002841866261855931
4.0,ot_mesh,0.9767549446444588,0.01643056977865054,0.9786666666666667,0.000997775303139697,3.9522578716278076,0.028782829642295837,0.014659722646077475,0.0013823130945176108
4.0,ot_vanilla,-4.4331542612908394e-05,3.622893199034883e-07,1.0,0.0,7.823932647705078,8.372985575988423e-06,0.0009327729543050131,0.0001788431073162541
4.0,xgboost,0.2837906306283659,0.009605561663023954,0.9404,0.0037665191711534892,6.033078212265555,0.031410760869868035,3.3344558080037436,0.6669203642562213
4.0,harmony,0.022945726718211188,0.0008435166788120676,0.9030666666666667,0.0009428090415820641,7.13362628023835,0.008663103122879035,4.02889609336853,0.49871244103472184
4.0,refcm_strict,1.0,0.0,0.98,0.0,3.9120230004223218,0.0,1.5075217088063557,0.009504639182171126
4.0,refcm_flex,0.18925341502889348,0.0025285591711406738,0.9418666666666665,0.016213026312882545,4.938977018059366,0.2851376743580274,1.4943515459696453,0.004958538740983003
8.0,ot_mesh,0.9380191653800937,0.020105922003718833,0.9758666666666667,0.0012364824660661133,4.022829532623291,0.03281349688768387,0.014209429423014322,0.0008672271085582471
8.0,ot_vanilla,-4.673925345362111e-05,1.4228733830900007e-07,1.0,0.0,7.823989391326904,3.6000415093440097e-06,0.0007327397664388021,9.683304052781639e-06
8.0,xgboost,0.046666370004096604,0.0036934328227038312,0.9205333333333333,0.006173779681488109,6.996805843059852,0.02156351484795659,2.042365392049154,0.03907270051743555
8.0,harmony,0.019420788822825927,0.00031761617724600694,0.9154666666666667,0.0035826743580118234,7.240633253827781,0.010223220243513844,4.719913721084595,0.025193833697474
8.0,refcm_strict,1.0,0.0,0.98,0.0,3.9120230004223218,0.0,1.57452392578125,0.06041647831703704
8.0,refcm_flex,0.18653933824825844,0.00477498190978733,0.9284,0.019451135356751446,5.148971136756504,0.28000169378801043,1.572983741760254,0.07364315583460107
